timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753654094731,5,Entry point,200,OK,Light Load 1-8,text,true,,177856,517,2,5,http://localhost:3000/assets/entry.client--AejsyGg.js,4,0,1
1753654095207,343, Login,200,OK,Light Load 1-9,text,true,,1237,316,1,3,http://localhost:5174/api/auth/sign-in,343,0,2
1753654096055,4,Get user account,200,OK,Light Load 1-9,text,true,,514,520,1,4,http://localhost:5174/api/users/68852ba262f999891b17774f,4,0,0
1753654096572,76,Update user details,200,OK,Light Load 1-9,text,true,,514,706,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,76,0,0
1753654097162,5,Get events list,200,OK,Light Load 1-9,text,true,,3390,496,1,4,http://localhost:5174/api/events,5,0,0
1753654097667,3,Entry point,200,OK,Light Load 1-9,text,true,,177856,517,1,4,http://localhost:3000/assets/entry.client--AejsyGg.js,2,0,1
1753654098218,248, Login,200,OK,Light Load 1-10,text,true,,1237,316,1,4,http://localhost:5174/api/auth/sign-in,248,0,2
1753654098974,84,Get user account,200,OK,Light Load 1-10,text,true,,514,520,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,84,0,0
1753654099558,11,Update user details,200,OK,Light Load 1-10,text,true,,514,706,1,4,http://localhost:5174/api/users/68852ba262f999891b17774f,11,0,0
1753654100078,151,Get events list,200,OK,Light Load 1-10,text,true,,3390,496,1,3,http://localhost:5174/api/events,150,0,0
1753654100730,12,Entry point,200,OK,Light Load 1-10,text,true,,177856,517,1,4,http://localhost:3000/assets/entry.client--AejsyGg.js,10,0,2
