timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753648871374,2,Entry point,200,OK,Light Load 1-8,text,true,,177856,517,2,5,http://localhost:3000/assets/entry.client--AejsyGg.js,2,0,0
1753648871812,339, Login,200,OK,Light Load 1-9,text,true,,1237,316,1,3,http://localhost:5174/api/auth/sign-in,339,0,0
1753648872657,5,Get user account,200,OK,Light Load 1-9,text,true,,514,520,1,4,http://localhost:5174/api/users/68852ba262f999891b17774f,5,0,0
1753648873172,100,Update user details,200,OK,Light Load 1-9,text,true,,291,706,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,99,0,0
1753648873776,18,Get events list,200,OK,Light Load 1-9,text,true,,3390,496,1,4,http://localhost:5174/api/events,18,0,0
1753648874296,2,Entry point,200,OK,Light Load 1-9,text,true,,177856,517,1,4,http://localhost:3000/assets/entry.client--AejsyGg.js,2,0,0
1753648874821,238, Login,200,OK,Light Load 1-10,text,true,,1237,316,1,4,http://localhost:5174/api/auth/sign-in,238,0,0
1753648875564,112,Get user account,200,OK,Light Load 1-10,text,true,,514,520,1,3,http://localhost:5174/api/users/68852ba262f999891b17774f,112,0,0
1753648876177,17,Update user details,200,OK,Light Load 1-10,text,true,,291,706,1,4,http://localhost:5174/api/users/68852ba262f999891b17774f,17,0,0
1753648876699,185,Get events list,200,OK,Light Load 1-10,text,true,,3390,496,1,3,http://localhost:5174/api/events,185,0,0
1753648877385,2,Entry point,200,OK,Light Load 1-10,text,true,,177856,517,1,4,http://localhost:3000/assets/entry.client--AejsyGg.js,2,0,0
